Baseline Data,,,,Pandemic Data,,,,,,Centers > 10,,,,,,High Prevalence States,,,,,,Open the Whole Time,,,,
State,Town/County/City,Age Ranges,Single or Multiple Locations?,Opening Details,Number of Students Served During Pandemic,Number of Staff During Pandemic,COVID-19 Cases in Children,COVID-19 Cases in Staff,,Kids,Staff,Kid COVID,Staff COVID,Count,,Count of Kids,Count of Staff,Kids COVID,Staff COVID,Total Centers,,Kids,Staff,Kid COVID,Staff COVID,Count
Washington,King County,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,12,3,0,0,,12,3,0,0,1,,12,3,0,0,1,,15,6,0,0,1
Texas,Wilson,"1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,10,4,0,0,,0,0,0,0,0,,0,0,0,0,0,,12,3,0,0,1
Texas,El Paso,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,7,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,4,0,0,1
Pennsylvania ,,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Multiple,Closed for a portion,6,5,0,1,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
North Carolina,Lenoir,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Multiple,Open the whole time,45,12,0,0,,45,12,0,0,1,,0,0,0,0,0,,6,5,0,1,1
Texas,Fort Bend,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,8,4,0,0,,0,0,0,0,0,,0,0,0,0,0,,45,12,0,0,1
Maryland,Garrett,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,12,1,0,0,,12,1,0,0,1,,0,0,0,0,0,,8,4,0,0,1
Florida,Volusia,5 to 10 years,Multiple,Open the whole time,90,10,0,0,,90,10,0,0,1,,0,0,0,0,0,,12,1,0,0,1
California,San Mateo,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,2,0,0,0,,0,0,0,0,0,,2,0,0,0,1,,90,10,0,0,1
Floria,Pinellas,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,9,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,2,0,0,0,1
California,Contra Costa,"6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,4,0,0,0,,0,0,0,0,0,,4,0,0,0,1,,0,0,0,0,0
Texas,Starr,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Closed for a portion,6,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Georgia,Glascock,"6 months - 1 year, 2 to 4 years",Single,Open the whole time,6,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,6,2,0,0,1
Washington,King ,"6 weeks - 6 months, 6 months - 1 year, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,6,2,0,0,,0,0,0,0,0,,6,2,0,0,1,,6,1,0,0,1
Texas,Harris,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Multiple,Open the whole time,100,18,0,0,,100,18,0,0,1,,0,0,0,0,0,,6,2,0,0,1
Connecticut,Fairfield,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,35,12,0,0,,35,12,0,0,1,,0,0,0,0,0,,100,18,0,0,1
North Carolina,,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Multiple,Open the whole time,20,5,0,0,,20,5,0,0,1,,0,0,0,0,0,,35,12,0,0,1
Washington,King ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,14,3,0,0,,14,3,0,0,1,,14,3,0,0,1,,20,5,0,0,1
New Jersey,Ocean,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,10,4,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Pennsylvania ,Montgomery,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,6,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Arizona,Maricopa,"1 to 2 years, 2 to 4 years",Single,Open the whole time,3,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,6,1,0,0,1
Maryland,Anne Arundel,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,5,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,3,1,0,0,1
California,Los Angeles,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,7,3,0,0,,0,0,0,0,0,,7,3,0,0,1,,5,1,0,0,1
Maryland,Anne Arundel,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,6,0,0,,,0,0,0,0,0,,0,0,0,0,0,,7,3,0,0,1
California,Los Angeles,"1 to 2 years, 2 to 4 years",Single,Closed for a portion,4,1,0,0,,0,0,0,0,0,,4,1,0,0,1,,0,0,0,0,0
Arizona,Maricopa,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,100,30,0,0,,100,30,0,0,1,,0,0,0,0,0,,0,0,0,0,0
Washington,Pierce,"2 to 4 years, 5 to 10 years",,Closed for a portion,8,0,0,0,,0,0,0,0,0,,8,0,0,0,1,,0,0,0,0,0
Washington,King,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,4,2,0,0,,0,0,0,0,0,,4,2,0,0,1,,8,0,0,0,1
Colorado,Denver,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Multiple,Open the whole time,65,56,0,1,,65,56,0,1,1,,0,0,0,0,0,,4,2,0,0,1
Washington,,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,5,1,0,0,,0,0,0,0,0,,5,1,0,0,1,,65,56,0,1,1
Indiana,Marion,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,30,7,0,0,,30,7,0,0,1,,0,0,0,0,0,,5,1,0,0,1
North Carolina,Gaston,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,10,4,0,0,,0,0,0,0,0,,0,0,0,0,0,,30,7,0,0,1
Maryland,Baltimore,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Closed for a portion,2,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Georgia,,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,0,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,2,1,0,0,1
Minnesota,Hennepin,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Multiple,Open the whole time,45,12,0,0,,45,12,0,0,1,,0,0,0,0,0,,0,1,0,0,1
Pennsyvania,Potter,"6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,4,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,45,12,0,0,1
California,San Francisco,"1 to 2 years, 2 to 4 years",Single,Closed for a portion,4,1,0,0,,0,0,0,0,0,,4,1,0,0,1,,0,0,0,0,0
Maryland,Montgomery,"1 to 2 years, 2 to 4 years",Single,Closed for a portion,3,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Oregon,Clackamas,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,40,15,0,0,,40,15,0,0,1,,0,0,0,0,0,,3,0,0,0,1
California,,"6 months - 1 year, 2 to 4 years, 5 to 10 years",Single,Open the whole time,5,2,0,0,,0,0,0,0,0,,5,2,0,0,1,,40,15,0,0,1
Illinois,McLean,"2 to 4 years, 5 to 10 years",Single,Open the whole time,6,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,5,2,0,0,1
Maryland,Monkton,"6 weeks - 6 months, 1 to 2 years, 5 to 10 years",Single,Open the whole time,3,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,6,1,0,0,1
Pennsylvania,Allegheny,"6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,3,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,3,1,0,0,1
NewYork,New York,"1 to 2 years, 2 to 4 years",Single,Open the whole time,2,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,3,1,0,0,1
New Jersey,Hudson,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Closed for a portion,7,9,0,1,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Washington,Cowlitz,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,7,2,0,0,,0,0,0,0,0,,7,2,0,0,1,,7,9,0,1,1
Washington,King,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,3,2,0,0,,0,0,0,0,0,,3,2,0,0,1,,7,2,0,0,1
Pennsylvania,Eerie,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,3,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,3,2,0,0,1
Washington,Benton,"2 to 4 years, 5 to 10 years",Single,Open the whole time,5,1,0,0,,0,0,0,0,0,,5,1,0,0,1,,3,2,0,0,1
California,San Bernadino,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,6,1,0,0,,0,0,0,0,0,,6,1,0,0,1,,5,1,0,0,1
California,,"6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,2,1,,,,0,0,0,0,0,,2,1,,,1,,6,1,0,0,1
Texas ,,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Multiple,Open the whole time,35,10,0,0,,35,10,0,0,1,,0,0,0,0,0,,2,1,,,1
Illinois,Cook,"6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,4,4,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
North Carolina,Harnett,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,20,10,0,0,,20,10,0,0,1,,0,0,0,0,0,,4,4,0,0,1
Maryland,,"1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Closed for a portion,2,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Oregon,Marion,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,28,14,0,0,,28,14,0,0,1,,0,0,0,0,0,,2,0,0,0,1
Los Angeles,Los Angeles,"1 to 2 years, 2 to 4 years",Single,Open the whole time,10,7,0,0,,0,0,0,0,0,,0,0,0,0,0,,28,14,0,0,1
Colorado,Weld,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,5,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,7,0,0,1
Arizona,Pinal,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Multiple,Open the whole time,40,13,0,0,,40,13,0,0,1,,0,0,0,0,0,,5,1,0,0,1
Pennsylvania,Adams,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,1,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,40,13,0,0,1
Texas,Dallas,"1 to 2 years, 2 to 4 years",Single,Closed for a portion,70,30,0,0,,70,30,0,0,1,,0,0,0,0,0,,0,0,0,0,0
Texas,Coryell,"6 weeks - 6 months, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,8,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,70,30,0,0,1
Georgia,Clayton,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,6,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,8,1,0,0,1
New York,New York,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Multiple,Open the whole time,10,20,0,0,,0,0,0,0,0,,10,20,0,0,1,,6,2,0,0,1
Minnesota,Anoka,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,47,16,0,0,,47,16,0,0,1,,0,0,0,0,0,,10,20,0,0,1
California,San Francisco,2 to 4 years,Single,Closed for a portion,12,3,0,0,,12,3,0,0,1,,12,3,0,0,1,,0,0,0,0,0
California,Los Angeles,"2 to 4 years, 5 to 10 years, Over 10",Single,Closed for a portion,10,4,0,0,,0,0,0,0,0,,10,4,0,0,1,,0,0,0,0,0
Ohio,Lucas,"6 weeks - 6 months, 2 to 4 years",Single,Closed for a portion,5,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Oregon,Jackson,"2 to 4 years, 5 to 10 years",Multiple,Open the whole time,30,5,0,0,,30,5,0,0,1,,0,0,0,0,0,,5,1,0,0,1
California,San Francisco,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,11,3,0,0,,11,3,0,0,1,,11,3,0,0,1,,0,0,0,0,0
California,Alameda,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,20,14,0,0,,20,14,0,0,1,,20,14,0,0,1,,11,3,0,0,1
Maryland,Prince Georges,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,7,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,20,14,0,0,1
Washington,Thurston,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,1,1,0,0,,0,0,0,0,0,,1,1,0,0,1,,7,2,0,0,1
Washington,Stevens,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Closed for a portion,6,1,0,0,,0,0,0,0,0,,6,1,0,0,1,,0,0,0,0,0
Washington,Pierce,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,12,1,0,0,,12,1,0,0,1,,12,1,0,0,1,,6,1,0,0,1
North Carolina,Orange,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Multiple,Closed for a portion,1,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
California,,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,10,0,0,0,,0,0,0,0,0,,10,0,0,0,1,,1,0,0,0,1
North Carolina,Bladen,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,45,11,0,0,,45,11,0,0,1,,0,0,0,0,0,,10,0,0,0,1
North Carolina,Guilford,"1 to 2 years, 2 to 4 years",Single,Closed for a portion,12,4,0,0,,12,4,0,0,1,,0,0,0,0,0,,0,0,0,0,0
Texas,Hidalgo,"2 to 4 years, 5 to 10 years",Single,Open the whole time,4,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,12,4,0,0,1
New Jersey,Union,2 to 4 years,Single,Closed for a portion,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Texas,Collins,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,3,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1
Virginia ,,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,27,11,,,,27,11,,,1,,0,0,0,0,0,,3,2,0,0,1
North Carolina,Wake,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,35,12,0,0,,35,12,0,0,1,,0,0,0,0,0,,27,11,,,1
Wisconsin ,Racine,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Closed for a portion,50,19,0,0,,50,19,0,0,1,,0,0,0,0,0,,0,0,0,0,0
Connecticut,New HAven,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,12,3,0,0,,12,3,0,0,1,,0,0,0,0,0,,50,19,0,0,1
Illinois,Will,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,20,14,0,0,,20,14,0,0,1,,0,0,0,0,0,,0,0,0,0,0
Michigan,Oakland,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,20,4,0,0,,20,4,0,0,1,,0,0,0,0,0,,0,0,0,0,0
Arizona,Mohave,"2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,7,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,20,4,0,0,1
Colorado,Douglas,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,5,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,7,2,0,0,1
Illinois,Cook,"1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,6,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,5,2,0,0,1
New York,Suffold,"1 to 2 years, 2 to 4 years",Single,Closed for a portion,9,2,0,0,,0,0,0,0,0,,9,2,0,0,1,,0,0,0,0,0
North Carolina,Burke,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,7,4,0,0,,0,0,0,0,0,,0,0,0,0,0,,9,2,0,0,1
California,San Francisco,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Multiple,Closed for a portion,2,4,0,0,,0,0,0,0,0,,2,4,0,0,1,,0,0,0,0,0
Texas,Fort Worth,"1 to 2 years, 2 to 4 years, 5 to 10 years",,Open the whole time,11,2,0,0,,11,2,0,0,1,,0,0,0,0,0,,2,4,0,0,1
Minnesota,Hennepin,"2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,14,2,0,0,,14,2,0,0,1,,0,0,0,0,0,,11,2,0,0,1
Texas,Travis,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,6,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,14,2,0,0,1
Massachusetts,Hampden,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Closed for a portion,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
New Jersey,Ocean,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,27,11,0,0,,27,11,0,0,1,,0,0,0,0,0,,0,0,0,0,1
North Carolina,Guilford,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,30,6,0,0,,30,6,0,0,1,,0,0,0,0,0,,27,11,0,0,1
Texas,Harris,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,25,4,0,0,,25,4,0,0,1,,0,0,0,0,0,,30,6,0,0,1
Massachusetts,Quincy,"1 to 2 years, 2 to 4 years",Single,Closed for a portion,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
